"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"163","Marcus Morris Sr.","Lac","F","33.6","65","28.1","17.7","8","87","0.782","336","0.482","307","0.365","0.513","0.534","11.2","4","1.8","0.6","0.3","0.9","15.2","13","16.9","6.1","108.2","110.4"
"164","Saddiq Bey","Atl","F","24","19","24.2","17.2","7.9","27","0.852","71","0.493","91","0.429","0.577","0.604","11.1","4.7","1.1","0.6","0.1","0.7","15.8","12.2","16.9","6.4","122.8","113.8"
"165","Bruce Brown","Den","G-F","26.6","75","28.2","17.5","15.1","132","0.742","427","0.55","244","0.365","0.549","0.573","11.1","4.1","3.3","1","0.6","1.6","15.2","14.5","18.5","7.5","112.3","108.9"
"166","Josh Hart","Nyk","G","28.1","20","29.9","12.8","19.6","45","0.8","83","0.651","44","0.568","0.72","0.746","11","6.7","3.7","1.5","0.5","1.6","17.7","14.6","21.3","8.7","140.3","105.9"
"167","Cam Reddish","Por","F-G","23.6","20","27.6","17.9","15.4","42","0.833","88","0.568","88","0.318","0.523","0.563","11","2.9","1.9","1.2","0.3","1.6","13.8","12.8","15.7","5.7","105.9","114.2"
"168","Jeremy Sochan","San","F","19.9","56","26","19.9","14.9","116","0.698","418","0.519","134","0.246","0.483","0.509","11","5.3","2.5","0.8","0.4","1.7","16.2","13.5","18.8","8.1","102.6","113.5"
"169","Reggie Jackson","Lac","G","33","52","25.7","20.8","15.8","66","0.924","292","0.469","220","0.35","0.493","0.523","10.9","2.2","3.5","0.7","0.1","1.8","13.1","14.4","16.6","6.8","103.1","112.2"
"170","Moritz Wagner","Orl","F-C","25.9","53","19.9","21.2","14.5","178","0.843","222","0.635","156","0.308","0.563","0.631","10.9","4.7","1.5","0.7","0.2","1.2","15.6","12.4","17.1","8.5","123.1","103.1"
"171","Kentavious Caldwell-Pope","Den","G","30.1","73","31.6","14","11.5","122","0.82","303","0.505","305","0.42","0.567","0.597","10.8","2.8","2.5","1.5","0.4","1.1","13.6","13.3","16.1","5.4","117.4","112.1"
"172","Jaylen Nowell","Min","G","23.7","65","19.3","25","9.4","99","0.778","393","0.542","231","0.29","0.502","0.527","10.8","2.6","2","0.6","0.1","1","13.4","12.9","15.5","7.9","106.1","110.6"
