"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"469","Jordan Hall","San","G","21.2","9","9.1","19.6","19.8","9","0.778","13","0.462","15","0.2","0.375","0.438","3.1","1.3","1.2","0.1","0","0.8","4.4","4.3","5.7","7.4","91","117.6"
"470","Richaun Holmes","Sac","F","29.5","38","8.4","13.1","15.7","19","0.789","70","0.657","5","0.8","0.693","0.714","3.1","1.9","0.1","0.1","0.3","0.4","5.1","3.3","5.2","4","131.1","104"
"471","Christian Koloko","Tor","C","22.8","52","14.1","10.4","11.7","55","0.655","126","0.492","10","0.1","0.467","0.509","3.1","3","0.5","0.4","1.1","0.3","6.2","3.6","6.7","4.7","118.4","100.7"
"472","Jake LaRavia","Mem","F","21.4","34","12.1","11.7","15.9","9","0.778","24","0.542","71","0.338","0.516","0.531","3.1","1.9","0.6","0.4","0.1","0.5","4.9","3.7","5.6","5","105.4","103.8"
"473","Boban Marjanovic","Hou","C","34.6","27","5.2","21.5","19.3","24","0.75","49","0.673","1","0","0.66","0.694","3.1","1.9","0.3","0.1","0","0.4","5","3.4","5.3","9.3","124.7","114.1"
"474","Jabari Walker","Por","F","20.7","50","9.8","15.7","12.5","37","0.784","105","0.495","35","0.229","0.457","0.502","3.1","2.1","0.5","0.2","0.2","0.4","5.2","3.6","5.7","6","108.6","110.9"
"475","Jared Butler","Okc","G","22.6","3","8.9","15.7","20","0","0","5","0.6","3","0.333","0.563","0.563","3","0.3","1.3","1.3","0","0.7","3.3","4.3","4.7","4.7","103.6","98.5"
"476","Gorgui Dieng","San","C","33.2","27","10.2","17.3","21.4","8","0.75","30","0.567","58","0.241","0.432","0.448","3","2.8","1.5","0.1","0.4","0.9","5.8","4.6","7.3","9.1","96","106.5"
"477","Tyler Dorsey","Dal","G","27.1","3","2.8","27.3","0","0","0","3","1","2","0.5","0.9","0.9","3","0.7","0","0","0","0","3.7","3","3.7","0","",""
"478","Danny Green","Mem","G","35.8","3","14.5","13.3","21.4","0","0","3","0","8","0.375","0.409","0.409","3","1.3","0.7","0.3","0","1","4.3","3.7","5","3.9","76.6","103.2"
"479","Danny Green","Cle","G","35.8","6","7.4","15.5","19.4","1","1","2","0.5","10","0.5","0.708","0.723","3","0.5","0","0.3","0.2","0.5","3.5","3","3.5","0","109.9","105.7"
"480","Saben Lee","Phi","G","23.8","2","5.1","31","42.9","0","0","3","1","1","0","0.75","0.75","3","0","1","0.5","0","1.5","3","4","4","0","86.3","105.2"
"481","Raul Neto","Cle","G","30.9","45","10","12","13.7","27","0.889","57","0.667","37","0.324","0.596","0.642","3","0.9","1.4","0.4","0.1","0.3","3.9","4.4","5.3","6.2","132.3","105.6"
"482","Trevelin Queen","Ind","G","26.1","7","10","23","19.2","5","1","14","0.357","15","0.133","0.276","0.337","3","2.4","0.9","0.3","0.7","1","5.4","3.9","6.3","7.5","78.9","116.4"
"483","Neemias Queta","Sac","C","23.7","4","6.1","17.3","11.1","2","0","8","0.75","0","0","0.75","0.676","3","2.3","0.3","0","0.3","0.3","5.3","3.3","5.5","8.4","133.8","89"
"484","Goran Dragic","Mil","G","36.9","3","7","20","20","0","0","4","0","4","0.75","0.563","0.563","3","0.7","1.3","0.7","0","0.7","3.7","4.3","5","8","106.3","101.9"
"485","Udoka Azubuike","Uta","C-F","23.5","31","7.8","13.2","23.1","16","0.313","53","0.811","0","0","0.811","0.758","2.9","2.8","0.3","0.2","0.4","0.5","5.7","3.2","6","6.9","124.8","106.8"
"486","Dominick Barlow","San","F","19.8","22","12.2","11","18.4","15","0.667","49","0.551","4","0","0.509","0.537","2.9","2.7","0.5","0.3","0.5","0.5","5.6","3.5","6.1","5.2","110.5","107.1"
"487","Moussa Diabate","Lac","F","21.2","20","9.2","14.2","16.9","16","0.625","42","0.524","2","0.5","0.534","0.558","2.9","2.3","0.2","0.4","0.4","0.5","5.1","3.1","5.3","4.8","119.7","109.7"
"488","Juancho Hernangomez","Tor","F","27.5","42","14.6","9.4","11.6","16","0.563","47","0.66","67","0.254","0.496","0.504","2.9","2.9","0.6","0.4","0.1","0.4","5.8","3.5","6.4","4.7","108.3","110.4"
"489","A.J. Lawson","Dal","G","22.7","11","5.5","20.6","3.8","3","0.333","9","0.556","16","0.438","0.62","0.608","2.9","0.7","0.1","0.1","0","0.1","3.6","3","3.7","4.3","116.3","108.1"
"490","Juan Toscano-Anderson","Uta","F","30","16","13.2","10.4","19.4","4","1","31","0.581","10","0.2","0.512","0.538","2.9","2.5","1.2","0.3","0.1","0.6","5.4","4.1","6.6","6.2","107.9","110.1"
"491","Will Barton","Tor","G","32.2","12","12.2","14.8","5.9","2","1","22","0.364","25","0.2","0.33","0.345","2.8","1.5","1","0.6","0.2","0.3","4.3","3.8","5.3","5.3","86.2","109.2"
"492","Micah Potter","Uta","F","25","5","5.4","14","11.1","0","0","5","0.8","3","0.667","0.875","0.875","2.8","0.6","0.6","0","0","0.2","3.4","3.4","4","7.4","157.5","111.8"
"493","Jeff Dowtin Jr.","Tor","G","25.9","22","10.3","12","8.2","7","0.714","40","0.5","16","0.313","0.491","0.508","2.7","1","1.2","0.4","0.1","0.2","3.8","3.9","5","5.7","116.6","114"
"494","Frank Kaminsky","Atl","F-C","30","26","6.8","13.9","16.9","12","0.833","21","0.667","23","0.478","0.693","0.72","2.7","1.4","0.8","0.2","0","0.3","4.1","3.5","4.9","8.5","132.5","105.8"
"495","Robin Lopez","Cle","C","35","34","7.5","15.7","26.7","16","0.75","57","0.649","3","0.667","0.667","0.686","2.7","1.3","0.4","0","0.2","0.6","4","3.1","4.4","6","114.2","101.8"
"496","Terry Taylor","Ind","G","23.5","26","8.8","14.2","12.1","7","0.714","47","0.553","18","0.222","0.492","0.507","2.7","1.5","0.4","0.1","0.2","0.3","4.2","3","4.5","5.3","108.7","113.7"
"497","Matisse Thybulle","Phi","G-F","26.1","49","12.1","9.8","6.4","12","0.75","53","0.547","63","0.333","0.522","0.536","2.7","1.3","0.5","0.9","0.3","0.2","3.9","3.1","4.4","4","116.1","103.3"
"498","Juan Toscano-Anderson","Lal","F","30","30","12.2","10.4","20.4","15","0.733","46","0.63","20","0.2","0.53","0.558","2.7","2","0.8","0.3","0.2","0.6","4.7","3.5","5.6","5.3","107.2","103.9"
"499","Ryan Arcidiacono","Por","G","29","9","16.2","11.3","15.8","0","0","12","0.083","20","0.35","0.359","0.359","2.6","1.2","2.3","0.3","0","0.7","3.8","4.9","6.1","4.8","88.7","113.3"
"500","Trent Forrest","Atl","G","24.8","19","12.7","10.8","17.9","3","0.667","48","0.5","2","0","0.48","0.487","2.6","1.5","1.6","0.3","0.1","0.6","4.2","4.3","5.8","5.8","103.6","114.1"
"501","Frank Ntilikina","Dal","G","24.7","45","11.8","12.9","17.9","27","0.704","54","0.481","60","0.25","0.425","0.461","2.6","1.3","1.2","0.3","0.1","0.6","3.8","3.7","5","5.4","95.4","108.5"
"502","Damian Jones","Lal","C","27.8","22","8","13.1","19.4","20","0.75","34","0.588","3","0","0.541","0.6","2.5","2.5","0.2","0.1","0.5","0.4","5","2.7","5.2","5.4","118.3","105.2"
"503","Garrett Temple","Nor","G-F","36.9","20","6.7","14.2","9.2","4","0.75","17","0.412","22","0.5","0.603","0.613","2.5","0.8","0.6","0.4","0.1","0.2","3.3","3.1","3.9","6.3","124.1","106.4"
"504","James Johnson","Ind","F","36.1","16","8.6","14.3","11.6","8","0.5","25","0.52","13","0.231","0.461","0.47","2.4","1.4","0.7","0.3","0.4","0.3","3.8","3.1","4.5","6.2","97.3","98.5"
"505","Sandro Mamukelashvili","Mil","F-C","23.9","24","9.1","14.4","13.4","18","0.667","26","0.462","32","0.219","0.388","0.432","2.4","2.3","0.7","0.2","0.2","0.4","4.7","3","5.4","6.9","102.1","105.2"
"506","Nerlens Noel","Det","C-F","29","14","10.8","11.9","20.9","10","0.7","28","0.393","2","0.5","0.417","0.465","2.3","2.6","0.5","0.9","0.6","0.6","4.9","2.8","5.4","5.3","92.6","98.9"
"507","Scotty Pippen Jr.","Lal","G","22.4","6","5.3","24.1","14","9","0.556","9","0.333","3","0.333","0.375","0.439","2.3","0.7","0.3","0.3","0.2","0.3","3","2.7","3.3","5.9","92.8","106.7"
"508","Davon Reed","Den","G","27.8","35","9","15","19.9","20","0.75","36","0.25","44","0.364","0.413","0.456","2.3","1.5","0.5","0.4","0.1","0.6","3.9","2.9","4.4","5.3","89.1","104.6"
"509","Ish Smith","Den","G","34.7","39","8.5","18.6","27.1","2","0.5","96","0.438","6","0.333","0.441","0.442","2.3","1.2","2.1","0.2","0.2","1","3.5","4.4","5.6","8.5","91.1","109.5"
"510","Olivier Sarr","Okc","C","24.1","6","11.2","10.8","18.2","3","1","7","0.571","6","0.167","0.423","0.489","2.3","2.3","0.5","0","0.8","0.5","4.7","2.8","5.2","4.9","111.8","103.4"
"511","Jay Huff","Was","C","25.6","3","4.1","21.8","45","5","1","1","1","1","0","0.5","0.833","2.3","1.3","0.3","0","0","0.7","3.7","2.7","4","9.4","120.8","106.7"
"512","Khem Birch","Tor","C","30.5","20","8.1","11.1","19.8","5","0.8","30","0.6","2","0.5","0.609","0.629","2.2","1.3","0.4","0.3","0.3","0.4","3.4","2.5","3.8","5.2","113.1","102.7"
"513","Kennedy Chandler","Mem","G","20.5","33","8.1","15.8","17.7","13","0.462","64","0.484","15","0.133","0.43","0.437","2.2","1.1","1.7","0.4","0.2","0.5","3.3","4","5","7.9","101","109.6"
"514","Markieff Morris","Dal","F","33.6","6","5.8","18.3","28.6","0","0","3","0.667","7","0.429","0.65","0.65","2.2","0.5","0.5","0.2","0","0.7","2.7","2.7","3.2","5.7","94","91.9"
"515","Dru Smith","Mia","G","25.3","5","13.4","10","6.7","0","0","8","0.5","6","0.167","0.393","0.393","2.2","1.8","1","0.8","0.6","0.2","4","3.2","5","4.7","94.3","98"
"516","Andre Iguodala","Gol","G-F","39.2","8","14.1","9.4","37","3","0.667","6","1","9","0.111","0.5","0.521","2.1","2.1","2.4","0.5","0.4","1.1","4.3","4.5","6.6","6.2","102","108.4"
"517","Buddy Boeheim","Det","F","23.4","7","9.8","14.8","0","2","1","1","0","22","0.182","0.261","0.293","2","0.6","0.4","0.3","0","0","2.6","2.4","3","3.2","78.4","118.9"
"518","Justin Champagnie","Tor","G-F","21.8","3","3.6","11.7","0","0","0","3","1","0","0","1","1","2","1.3","0.3","0","0","0","3.3","2.3","3.7","10.2","",""
"519","Ron Harper Jr.","Tor","F","23","5","3.3","20.9","0","0","0","3","0.667","5","0.4","0.625","0.625","2","0.4","0","0","0","0","2.4","2","2.4","0","",""
"520","A.J. Lawson","Min","G","22.7","1","1.8","23.8","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","",""
"521","Chris Silva","Dal","F","26.5","1","3","30.2","50","0","0","1","1","0","0","1","1","2","0","0","0","0","1","2","2","2","0","",""
"522","Terry Taylor","Chi","G","23.5","2","2.9","15.5","0","0","0","2","1","0","0","1","1","2","0","0","0","0","0","2","2","2","0","",""
"523","Stanley Umude","Det","G","24","1","2.1","38","0","2","1","0","0","1","0","0","0.532","2","0","0","1","1","0","2","2","2","0","",""
"524","Omer Yurtseven","Mia","C","24.8","6","6.2","13.5","9.7","3","0.667","8","0.625","1","0","0.556","0.581","2","1.5","0","0.2","0.2","0.2","3.5","2","3.5","0","121.8","98.5"
"525","Jared Rhoden","Det","G","23.6","8","9.3","10.8","5.4","2","1","9","0.556","8","0.125","0.382","0.419","1.9","2","0.3","0.3","0","0.1","3.9","2.1","4.1","4.5","109","109.8"
"526","Ryan Rollins","Gol","G","20.7","12","5.2","26.1","43.9","6","1","11","0.364","9","0.333","0.425","0.508","1.9","1","0.5","0.1","0.1","1.3","2.9","2.4","3.4","7.6","70.1","102"
"527","Greg Brown III","Por","F","21.6","16","5.8","18.4","17.6","12","0.417","21","0.476","7","0.143","0.411","0.421","1.8","1.2","0.2","0.3","0.3","0.4","2.9","1.9","3.1","5.2","79","103.9"
"528","Mamadi Diakite","Cle","F","26.2","20","6.8","14.9","17.8","0","0","20","0.5","17","0.294","0.473","0.473","1.8","1","0.2","0.1","0.4","0.4","2.8","2","3","4.2","88.4","100"
"529","Trevor Hudgins","Hou","G","24","5","5.7","16.6","9.6","3","1","1","0","8","0.25","0.333","0.436","1.8","0","0.6","0","0","0.2","1.8","2.4","2.4","0","102.6","125.2"
"530","Quenton Jackson","Was","G","24.5","4","2.9","22.8","0","0","0","3","0.667","3","0.333","0.583","0.583","1.8","0.3","0.3","0.3","0","0","2","2","2.3","7.5","",""
"531","Alize Johnson","San","F","26.9","4","7.4","15.3","39.1","2","0.5","4","0.75","2","0","0.5","0.509","1.8","2.5","0.3","0.3","0","1","4.3","2","4.5","6","74","108.9"
"532","Dalen Terry","Chi","F","20.7","32","5.4","15.7","10.7","13","0.538","31","0.548","19","0.316","0.52","0.529","1.8","0.9","0.6","0.1","0.1","0.2","2.8","2.5","3.4","7.3","115.8","106.5"
"533","Peyton Watson","Den","G","20.6","17","3.1","22.4","11.5","2","0","17","0.529","6","0.667","0.652","0.628","1.8","0.5","0.1","0","0.1","0.2","2.3","1.9","2.4","5.8","",""
"534","Joe Wieskamp","Tor","G-F","23.6","5","5.9","12.9","11.1","0","0","1","0","7","0.429","0.563","0.563","1.8","0.4","0.2","0","0","0.2","2.2","2","2.4","3.6","105.6","114.8"
"535","Keon Ellis","Sac","G","23.2","13","3.9","13.1","7","3","0.667","3","0.333","10","0.6","0.769","0.768","1.7","0.6","0.3","0.2","0.1","0.1","2.3","2","2.6","6.9","",""
"536","Theo Pinson","Dal","G-F","27.4","37","6.8","13.7","14","11","0.818","17","0.294","44","0.341","0.451","0.486","1.7","1.2","0.8","0.1","0","0.3","2.9","2.6","3.8","6.9","109.4","108.1"
"537","Dewayne Dedmon","Phi","C","33.6","6","7.2","14.3","23.1","2","0","9","0.556","1","0","0.5","0.46","1.7","2.2","0.5","0.2","0.8","0.5","3.8","2.2","4.3","6.8","95.4","97"
"538","Dylan Windler","Cle","G-F","26.5","3","3.5","17.2","25","0","0","1","1","2","0.5","0.833","0.833","1.7","0","0.3","0.3","0","0.3","1.7","2","2","0","",""
"539","Darius Bazley","Pho","F-G","22.8","5","5.5","18.5","26.7","2","0.5","4","0.5","4","0.25","0.438","0.45","1.6","1.2","0.8","0.4","0.4","0.6","2.8","2.4","3.6","8.4","86.8","92.8"
"540","Tony Bradley","Chi","C-F","25.2","12","2.8","19.5","7.4","4","1","7","0.429","5","0.6","0.625","0.69","1.6","0.9","0.1","0.1","0.1","0.1","2.5","1.7","2.6","7.5","",""
"541","Svi Mykhailiuk","Nyk","G-F","25.8","13","3.1","17.4","14","5","0.6","2","0","10","0.6","0.75","0.739","1.6","0.5","0.1","0.1","0","0.2","2.2","1.7","2.2","5.6","",""
"542","Jaden Springer","Phi","G","20.5","14","3.8","21.6","4.3","6","0.833","20","0.45","2","0","0.409","0.467","1.6","0.9","0.4","0.4","0.1","0.1","2.5","2","2.9","8.8","",""
"543","Lindell Wigginton","Mil","G","25","5","3.7","27.3","17.5","2","1","5","0.6","4","0","0.333","0.405","1.6","0.2","0.4","0","0","0.4","1.8","2","2.2","5.4","",""
"544","Kendall Brown","Ind","G","19.9","6","6.7","10.3","21.7","2","0.5","6","0.667","1","0","0.571","0.571","1.5","1","0.5","0.7","0","0.3","2.5","2","3","5.4","109.3","95.3"
"545","Matthew Dellavedova","Sac","G","32.6","32","6.7","12.7","16.6","7","0.571","23","0.348","27","0.333","0.43","0.443","1.5","0.4","1.3","0.2","0","0.3","1.9","2.8","3.2","5.5","104.3","110.8"
"546","Wendell Moore Jr.","Min","G","21.5","27","5.5","15","15.9","5","0.8","25","0.6","17","0.118","0.429","0.452","1.5","0.6","0.7","0.3","0.2","0.3","2.1","2.1","2.8","6.2","95.5","109"
"547","Jordan Schakel","Was","G","24.8","2","3.1","14.1","0","0","0","1","0","1","1","0.75","0.75","1.5","0","0.5","0.5","0","0","1.5","2","2","0","",""
"548","Cole Swider","Lal","F","23.9","6","6.7","9.5","0","0","0","1","0","8","0.375","0.5","0.5","1.5","1.2","0.7","0","0","0","2.7","2.2","3.3","6.4","124.4","110.2"
"549","Facundo Campazzo","Dal","G","32","8","6.5","14.7","18.5","2","0.5","2","0","11","0.273","0.346","0.36","1.3","0.3","1.1","0.8","0","0.4","1.5","2.4","2.6","4.6","86.5","110.4"
"550","Braxton Key","Det","F","26.1","3","3","8.8","0","2","1","1","1","0","0","1","1.064","1.3","0.3","0","0","0","0","1.7","1.3","1.7","0","",""
"551","Vit Krejci","Atl","G","22.8","25","5.4","11.1","11.4","2","0.5","13","0.615","18","0.278","0.5","0.502","1.3","0.7","0.5","0.1","0","0.2","2","1.8","2.5","5.7","108.7","109.2"
"552","KZ Okpala","Sac","F-G","23.9","35","7.1","8.4","15.4","8","0.875","17","0.529","21","0.333","0.513","0.554","1.3","1","0.4","0.2","0.2","0.2","2.3","1.7","2.7","4.5","113.2","103.1"
"553","Tyrese Martin","Atl","G","24.1","13","3.5","16.5","5.7","2","1","11","0.455","5","0.2","0.406","0.444","1.2","0.5","0","0.1","0","0.1","1.6","1.2","1.6","0","",""
"554","Jack White","Den","F","25.7","16","3.2","15.7","5.8","3","0.667","8","0.5","8","0.375","0.531","0.548","1.2","0.6","0.2","0.1","0.1","0.1","1.8","1.4","1.9","6.6","",""
"555","JD Davison","Bos","G","20.5","10","2.7","24","13.3","0","0","9","0.444","4","0.25","0.423","0.423","1.1","0.6","0.6","0.2","0","0.2","1.7","1.7","2.3","10.9","",""
"556","Kessler Edwards","Bro","F","22.6","14","5.7","16.1","14.2","2","0.5","12","0.333","12","0.167","0.292","0.301","1.1","1","0.1","0.2","0.1","0.3","2.1","1.2","2.2","3.4","72","115.7"
"557","Frank Kaminsky","Hou","F-C","30","8","4.8","13.9","0","4","1","4","0.25","7","0.143","0.227","0.353","1.1","1.1","0.9","0.1","0.3","0","2.3","2","3.1","8.6","110.7","118.5"
"558","Alex Len","Sac","C","29.8","20","4","16.2","34.3","10","0.6","15","0.533","2","0","0.471","0.514","1.1","1.4","0.3","0.1","0.2","0.5","2.5","1.4","2.8","7.7","91.6","95.3"
"559","Isaiah Mobley","Cle","F","23.5","10","3.3","13.8","0","0","0","7","0.571","3","0.333","0.55","0.55","1.1","1.2","0","0.1","0.1","0","2.3","1.1","2.3","0","",""
"560","Noah Vonleh","Bos","F","27.6","23","7.5","9.1","31","2","1","20","0.5","4","0.25","0.479","0.502","1.1","2.1","0.3","0.1","0.3","0.5","3.2","1.4","3.5","4.7","103.1","92.9"
"561","Bruno Fernando","Atl","F-C","24.6","4","2.6","24.2","33.3","0","0","4","0.5","0","0","0.5","0.5","1","0.5","0.3","0","0","0.5","1.5","1.3","1.8","8.2","",""
"562","Malcolm Hill","Chi","F","27.4","5","1.8","19.4","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"563","Carlik Jones","Chi","G","25.3","3","8","14.2","16.4","4","0.25","4","0.25","1","0","0.2","0.222","1","1","0.7","0","0","0.3","2","1.7","2.7","4.4","63.3","115.7"
"564","Mfiondu Kabengele","Bos","F-C","25.6","2","7","9.4","33.3","0","0","1","1","1","0","0.5","0.5","1","2.5","0","0","0","0.5","3.5","1","3.5","0","114.3","93.4"
"565","Trevor Keels","Nyk","G","19.6","3","2.7","21.5","0","0","0","0","0","4","0.25","0.375","0.375","1","0.7","0","0","0","0","1.7","1","1.7","0","",""
"566","Chima Moneke","Sac","F","27.3","2","4","26.6","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.6","97.4"
"567","Davon Reed","Lal","G","27.8","6","3.7","9","0","4","0.25","1","1","2","0.5","0.833","0.63","1","0.5","0.3","0.2","0","0","1.5","1.3","1.8","5.7","",""
"568","Nerlens Noel","Bro","C-F","29","3","14.4","12.2","44.6","2","0.5","6","0.167","0","0","0.167","0.218","1","3","1","1","0.3","1.7","4","2","5","4","57.2","98.5"
"569","Justin Jackson","Bos","F","28","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.5","107.3"
"570","Vince Williams Jr.","Mem","G","22.6","11","4.7","12","6.7","0","0","4","0.5","10","0.2","0.357","0.357","0.9","0.6","0.3","0.4","0.1","0.1","1.5","1.2","1.8","4.6","88.9","101.6"
"571","Thanasis Antetokounmpo","Mil","F","30.7","33","4.2","13.2","28.8","12","0.417","22","0.455","5","0","0.37","0.387","0.8","0.9","0.2","0.1","0.1","0.3","1.7","1","1.9","5","80.5","101.7"
"572","PJ Dozier","Sac","G-F","26.4","11","2.7","23.4","12.5","0","0","7","0.429","7","0.143","0.321","0.321","0.8","0.6","0.1","0.3","0.1","0.2","1.5","0.9","1.5","5.4","",""
"573","Dereon Seabron","Nor","G","22.8","5","2.3","18.5","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"574","Sam Merrill","Cle","G","26.9","3","3.6","16.6","0","0","0","1","1","3","0","0.25","0.25","0.7","0.3","0.3","0","0","0","1","1","1.3","4.4","",""
"575","Vernon Carey Jr.","Was","F-C","22.1","11","2.6","16.7","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"576","Devon Dotson","Was","G","23.7","6","8.9","9.9","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.6","98.3"
"577","Udonis Haslem","Mia","F","42.8","6","7.6","12.6","0","2","0.5","10","0.1","2","0","0.083","0.116","0.5","1.3","0","0.2","0.2","0","1.8","0.5","1.8","0","51.1","98.4"
"578","Isaiah Todd","Was","F","21.5","4","3.2","13.9","0","0","0","1","1","3","0","0.25","0.25","0.5","0","0","0","0","0","0.5","0.5","0.5","0","",""
"579","Xavier Cooks","Was","G","27.6","4","3.4","9.8","66.7","0","0","1","1","0","0","1","1","0.5","1","0.3","0","0","0.5","1.5","0.8","1.8","6.3","",""
"580","Leandro Bolmaro","Uta","F","22.5","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51.2","107.2"
"581","John Butler Jr.","Por","F","20.3","13","6.3","7.7","0","1","1","4","0.5","10","0","0.143","0.173","0.4","0.5","0.2","0.2","0.4","0","0.9","0.5","1.1","2.2","53.8","109.4"
"582","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"583","Sterling Brown","Lal","G-F","28.1","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","76.9","92.6"
"584","Deonte Burton","Sac","G-F","29.2","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"585","Julian Champagnie","Phi","F","21.8","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"586","Michael Foster Jr.","Phi","F","20.2","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"587","Frank Jackson","Uta","G","24.9","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48.2","120.2"
"588","Marko Simonovic","Chi","C","23.5","3","1.5","9.6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"589","Alondes Williams","Bro","G","23.8","1","5.3","16.7","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","98"
"590","Jamaree Bouyea","Was","G","23.8","1","5.5","7.9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","99.6"
"591","Xavier Moon","Lac","G","28.2","2","4.3","10.2","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","1","1","2","0","58.8","104.2"
"592","Moses Brown","Bro","C","23.5","1","3.9","11.4","100","0","0","0","0","0","0","","","0","0","0","1","0","1","0","0","0","0","",""
